P_Val,H_S,D_C,Action,,D_C
5,Hard,2,H,,
6,Hard,2,H,,
7,Hard,2,H,,
8,Hard,2,H,,
9,Hard,2,H,,
10,Hard,2,Dh,,
11,Hard,2,Dh,,
12,Hard,2,H,,
13,Hard,2,S,,
14,Hard,2,S,,
15,Hard,2,S,,
16,Hard,2,S,,
17,Hard,2,S,,
18,Hard,2,S,,
19,Hard,2,S,,
20,Hard,2,S,,
21,Hard,2,S,,
13,Soft,2,H,,
14,Soft,2,H,,
15,Soft,2,H,,
16,Soft,2,H,,
17,Soft,2,H,,
18,Soft,2,S,,
19,Soft,2,S,,
20,Soft,2,S,,
21,Soft,2,S,,
5,Hard,3,H,,
6,Hard,3,H,,
7,Hard,3,H,,
8,Hard,3,H,,
9,Hard,3,Dh,,
10,Hard,3,Dh,,
11,Hard,3,Dh,,
12,Hard,3,H,,
13,Hard,3,S,,
14,Hard,3,S,,
15,Hard,3,S,,
16,Hard,3,S,,
17,Hard,3,S,,
18,Hard,3,S,,
19,Hard,3,S,,
20,Hard,3,S,,
21,Hard,3,S,,
13,Soft,3,H,,
14,Soft,3,H,,
15,Soft,3,H,,
16,Soft,3,H,,
17,Soft,3,Dh,,
18,Soft,3,Ds,,
19,Soft,3,S,,
20,Soft,3,S,,
21,Soft,3,S,,
5,Hard,4,H,,
6,Hard,4,H,,
7,Hard,4,H,,
8,Hard,4,H,,
9,Hard,4,Dh,,
10,Hard,4,Dh,,
11,Hard,4,Dh,,
12,Hard,4,S,,
13,Hard,4,S,,
14,Hard,4,S,,
15,Hard,4,S,,
16,Hard,4,S,,
17,Hard,4,S,,
18,Hard,4,S,,
19,Hard,4,S,,
20,Hard,4,S,,
21,Hard,4,S,,
13,Soft,4,H,,
14,Soft,4,H,,
15,Soft,4,Dh,,
16,Soft,4,Dh,,
17,Soft,4,Dh,,
18,Soft,4,Ds,,
19,Soft,4,S,,
20,Soft,4,S,,
21,Soft,4,S,,
5,Hard,5,H,,
6,Hard,5,H,,
7,Hard,5,H,,
8,Hard,5,H,,
9,Hard,5,Dh,,
10,Hard,5,Dh,,
11,Hard,5,Dh,,
12,Hard,5,S,,
13,Hard,5,S,,
14,Hard,5,S,,
15,Hard,5,S,,
16,Hard,5,S,,
17,Hard,5,S,,
18,Hard,5,S,,
19,Hard,5,S,,
20,Hard,5,S,,
21,Hard,5,S,,
13,Soft,5,Dh,,
14,Soft,5,Dh,,
15,Soft,5,Dh,,
16,Soft,5,Dh,,
17,Soft,5,Dh,,
18,Soft,5,Ds,,
19,Soft,5,S,,
20,Soft,5,S,,
21,Soft,5,S,,
5,Hard,6,H,,
6,Hard,6,H,,
7,Hard,6,H,,
8,Hard,6,H,,
9,Hard,6,Dh,,
10,Hard,6,Dh,,
11,Hard,6,Dh,,
12,Hard,6,S,,
13,Hard,6,S,,
14,Hard,6,S,,
15,Hard,6,S,,
16,Hard,6,S,,
17,Hard,6,S,,
18,Hard,6,S,,
19,Hard,6,S,,
20,Hard,6,S,,
21,Hard,6,S,,
13,Soft,6,Dh,,
14,Soft,6,Dh,,
15,Soft,6,Dh,,
16,Soft,6,Dh,,
17,Soft,6,Dh,,
18,Soft,6,Ds,,
19,Soft,6,S,,
20,Soft,6,S,,
21,Soft,6,S,,
5,Hard,7,H,,
6,Hard,7,H,,
7,Hard,7,H,,
8,Hard,7,H,,
9,Hard,7,H,,
10,Hard,7,Dh,,
11,Hard,7,Dh,,
12,Hard,7,H,,
13,Hard,7,H,,
14,Hard,7,H,,
15,Hard,7,H,,
16,Hard,7,H,,
17,Hard,7,S,,
18,Hard,7,S,,
19,Hard,7,S,,
20,Hard,7,S,,
21,Hard,7,S,,
13,Soft,7,H,,
14,Soft,7,H,,
15,Soft,7,H,,
16,Soft,7,H,,
17,Soft,7,H,,
18,Soft,7,S,,
19,Soft,7,S,,
20,Soft,7,S,,
21,Soft,7,S,,
5,Hard,8,H,,
6,Hard,8,H,,
7,Hard,8,H,,
8,Hard,8,H,,
9,Hard,8,H,,
10,Hard,8,Dh,,
11,Hard,8,Dh,,
12,Hard,8,H,,
13,Hard,8,H,,
14,Hard,8,H,,
15,Hard,8,H,,
16,Hard,8,H,,
17,Hard,8,S,,
18,Hard,8,S,,
19,Hard,8,S,,
20,Hard,8,S,,
21,Hard,8,S,,
13,Soft,8,H,,
14,Soft,8,H,,
15,Soft,8,H,,
16,Soft,8,H,,
17,Soft,8,H,,
18,Soft,8,S,,
19,Soft,8,S,,
20,Soft,8,S,,
21,Soft,8,S,,
5,Hard,9,H,,
6,Hard,9,H,,
7,Hard,9,H,,
8,Hard,9,H,,
9,Hard,9,H,,
10,Hard,9,Dh,,
11,Hard,9,Dh,,
12,Hard,9,H,,
13,Hard,9,H,,
14,Hard,9,H,,
15,Hard,9,H,,
16,Hard,9,H,,
17,Hard,9,S,,
18,Hard,9,S,,
19,Hard,9,S,,
20,Hard,9,S,,
21,Hard,9,S,,
13,Soft,9,H,,
14,Soft,9,H,,
15,Soft,9,H,,
16,Soft,9,H,,
17,Soft,9,H,,
18,Soft,9,H,,
19,Soft,9,S,,
20,Soft,9,S,,
21,Soft,9,S,,
5,Hard,10,H,,
6,Hard,10,H,,
7,Hard,10,H,,
8,Hard,10,H,,
9,Hard,10,H,,
10,Hard,10,H,,
11,Hard,10,Dh,,
12,Hard,10,H,,
13,Hard,10,H,,
14,Hard,10,H,,
15,Hard,10,H,,
16,Hard,10,H,,
17,Hard,10,S,,
18,Hard,10,S,,
19,Hard,10,S,,
20,Hard,10,S,,
21,Hard,10,S,,
13,Soft,10,H,,
14,Soft,10,H,,
15,Soft,10,H,,
16,Soft,10,H,,
17,Soft,10,H,,
18,Soft,10,H,,
19,Soft,10,S,,
20,Soft,10,S,,
21,Soft,10,S,,
5,Hard,14,H,,
6,Hard,14,H,,
7,Hard,14,H,,
8,Hard,14,H,,
9,Hard,14,H,,
10,Hard,14,H,,
11,Hard,14,H,,
12,Hard,14,H,,
13,Hard,14,H,,
14,Hard,14,H,,
15,Hard,14,H,,
16,Hard,14,H,,
17,Hard,14,S,,
18,Hard,14,S,,
19,Hard,14,S,,
20,Hard,14,S,,
21,Hard,14,S,,
13,Soft,14,H,,
14,Soft,14,H,,
15,Soft,14,H,,
16,Soft,14,H,,
17,Soft,14,H,,
18,Soft,14,H,,
19,Soft,14,S,,
20,Soft,14,S,,
21,Soft,14,S,,
4,Hard,2,H,,
4,Hard,3,H,,
4,Hard,4,H,,
4,Hard,5,H,,
4,Hard,6,H,,
4,Hard,7,H,,
4,Hard,8,H,,
4,Hard,9,H,,
4,Hard,10,H,,
4,Hard,14,H,,
4,Soft,2,H,,
4,Soft,3,H,,
4,Soft,4,H,,
4,Soft,5,H,,
4,Soft,6,H,,
4,Soft,7,H,,
4,Soft,8,H,,
4,Soft,9,H,,
4,Soft,10,H,,
4,Soft,14,H,,
